,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length
1805,The only place good for this film is in the garbage.  ,0,imdb,The only place good for this film is in the garbage  ,place good film garbage,11
1806,The worst one of the series.  ,0,imdb,The worst one of the series  ,worst one series,6
1807,Editing: The editing of this film was phenomenal in my opinion.  ,1,imdb,Editing The editing of this film was phenomenal in my opinion  ,editing editing film phenomenal opinion,11
1808,"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  ",1,imdb,When a song could explain the emotions of the subjects better such as when Jay Adams unfortunate life was a subject of talk the song Old Man by Neil Young was played which evokes many emotions  ,song could explain emotions subjects better jay adams unfortunate life subject talk song old man neil young played evokes many emotions,36
1809,Cinematography: The film was shot in an interesting way.  ,1,imdb,Cinematography The film was shot in an interesting way  ,cinematography film shot interesting way,9
1810,"Of course the footage from the 70s was grainy, but that only enhanced the film.  ",1,imdb,Of course the footage from the 70s was grainy but that only enhanced the film  ,course footage 70s grainy enhanced film,15
1811,This film offers many delights and surprises.  ,1,imdb,This film offers many delights and surprises  ,film offers many delights surprises,7
1812,"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.  ",1,imdb,When Achille and Philippa beautifully sing a duet from Don Giovanni that perfectly describes their situation in the movie you appreciate the subtle layers of this excellent film  ,achille philippa beautifully sing duet giovanni perfectly describes situation movie appreciate subtle layers excellent film,28
1813,The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  ,1,imdb,The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch  ,story unfolds 18th century jutland use period music played period instruments one fine touch,23
1814,You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  ,1,imdb,You share General Loewenhielms exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie  but you do wish for just a small sample to savor  ,share general loewenhielms exquisite joy partaking cailles en sarcophage even though watching movie wish small sample savor,33
1815,But this understated film leaves a lasting impression.  ,1,imdb,But this understated film leaves a lasting impression  ,understated film leaves lasting impression,8
1816,The warmth it generates is in contrast to its austere backdrop.  ,1,imdb,The warmth it generates is in contrast to its austere backdrop  ,warmth generates contrast austere backdrop,11
1817,You will leave the theater wanting to go out and dance under the stars.  ,1,imdb,You will leave the theater wanting to go out and dance under the stars  ,leave theater wanting go dance stars,14
1818,"The acting, as you'd expect from this cast, is top notch.  ",1,imdb,The acting as youd expect from this cast is top notch  ,acting youd expect cast top notch,11
1819,"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  ",1,imdb,The characters are fleshed out surprisingly well particularly Grimes and Blake and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic  ,characters fleshed surprisingly well particularly grimes blake actors deliver sharply scripted lines right amount deadpan tongue cheek make dialogue hilarious realistic,38
1820,"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.  ",1,imdb,Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing violinplaying anatomist Doctor Quinn  ,angus scrimm also turns good performance somewhat brief memorable role gently menacing violinplaying anatomist doctor quinn,23
1821,Conclusion - I loved it.  ,1,imdb,Conclusion  I loved it  ,conclusion loved,4
1822,It's a long time since I was so entertained by a movie.  ,1,imdb,Its a long time since I was so entertained by a movie  ,long time since entertained movie,12
1823,I struggle to find anything bad to say about it.  ,1,imdb,I struggle to find anything bad to say about it  ,struggle find anything bad say,10
1824,"Mark my words, this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.  ",1,imdb,Mark my words this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20 30 40 years down the line  ,mark words one cult films like evil dead 2 phantasm people still discovering falling love 20 30 40 years line,34
1825,"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  ",1,imdb,Its pretty surprising that this wonderful film was made in 1949 as Hollywood generally had its collective heads in the sand concerning black and white issues at that time  ,pretty surprising wonderful film made 1949 hollywood generally collective heads sand concerning black white issues time,29
1826,"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",1,imdb,The film deserves strong kudos for taking this stand for having exceptional acting from its mostly lesserknown cast and for the superintelligent script that doesnt insult the audience or take the easy way out when it comes to white racism  ,film deserves strong kudos taking stand exceptional acting mostly lesserknown cast superintelligent script doesnt insult audience take easy way comes white racism,40
1827,"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  ",1,imdb,Plus with the movies rather modest budget and fast running time it does an amazing job  ,plus movies rather modest budget fast running time amazing job,16
1828,Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  ,1,imdb,Juano Hernandez an exceptional actor who played supporting roles in many films of the era is a proud black man who is accused of murdering a white man in the South  ,juano hernandez exceptional actor played supporting roles many films era proud black man accused murdering white man south,31
1829,Trumbull on I LOVE LUCY).  ,1,imdb,Trumbull on I LOVE LUCY  ,trumbull love lucy,5
1830,See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.  ,1,imdb,See it with your kids if you have a chanceit will open up some amazing dialog about how far race relations have come in the last 50 years  ,see kids chanceit open amazing dialog far race relations come last 50 years,28
1831,See both films if you can.  ,1,imdb,See both films if you can  ,see films,6
1832,"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  ",1,imdb,It was that year however that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyces acclaimed novella The Dead  ,year however reminded us huston still top game evinced faithful adaptation james joyces acclaimed novella dead,31
1833,"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",1,imdb,Feelings thoughtsGabriels discomfort during the danceall these intangibles leap to life and come within the viewers grasp in Hustons portrayal  ,feelings thoughtsgabriels discomfort danceall intangibles leap life come within viewers grasp hustons portrayal,20
1834,Very disappointed and wondered how it could be in the Oscar shortlist.  ,0,imdb,Very disappointed and wondered how it could be in the Oscar shortlist  ,disappointed wondered could oscar shortlist,12
1835,It's very slow.  ,0,imdb,Its very slow  ,slow,3
1836,Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  ,0,imdb,Lot of holes in the plot theres nothing about how he became the emperor nothing about where he spend 20 years between his childhood and mature age  ,lot holes plot theres nothing became emperor nothing spend 20 years childhood mature age,27
1837,) Don't waste your time.  ,0,imdb, Dont waste your time  ,dont waste time,4
1838,End of Days is one of the worst big-budget action movies I've ever seen.  ,0,imdb,End of Days is one of the worst bigbudget action movies Ive ever seen  ,end days one worst bigbudget action movies ive ever seen,14
1839,He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  ,0,imdb,He surely doesnt know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money  ,surely doesnt know make coherent action movie screenwriter air force one obliged write script big sum money,33
1840,This was one of the worst films i have ever seen.  ,0,imdb,This was one of the worst films i have ever seen  ,one worst films ever seen,11
1841,I'm still trying to get over how bad it was.  ,0,imdb,Im still trying to get over how bad it was  ,im still trying get bad,10
1842,This movie is possibly one of the most creative works of horror ever.  ,1,imdb,This movie is possibly one of the most creative works of horror ever  ,movie possibly one creative works horror ever,13
1843,"It has everything you could want... suspense, drama, comedy, confusing subplots, native americans, brain eating... If you're looking for the be-all, end-all of brainsucking movies, look no further.  ",1,imdb,It has everything you could want suspense drama comedy confusing subplots native americans brain eating If youre looking for the beall endall of brainsucking movies look no further  ,everything could want suspense drama comedy confusing subplots native americans brain eating youre looking beall endall brainsucking movies look,28
1844,"With great sound effects, and impressive special effects, I can't recommend this movie enough.  ",1,imdb,With great sound effects and impressive special effects I cant recommend this movie enough  ,great sound effects impressive special effects cant recommend movie enough,14
1845,"Call me a nut, but I think this is one of the best movies ever.  ",1,imdb,Call me a nut but I think this is one of the best movies ever  ,call nut think one best movies ever,15
1846,Great character actors Telly Savalas and Peter Boyle.  ,1,imdb,Great character actors Telly Savalas and Peter Boyle  ,great character actors telly savalas peter boyle,8
1847,"1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  ",0,imdb,1 hour 54 minutes of sheer tedium melodrama and horrible acting a mess of a script and a sinking feeling of GOOD LORD WHAT WERE THEY THINKING  ,1 hour 54 minutes sheer tedium melodrama horrible acting mess script sinking feeling good lord thinking,27
1848,Lots of holes in the script.  ,0,imdb,Lots of holes in the script  ,lots holes script,6
1849,It's like a bad two hour TV movie.  ,0,imdb,Its like a bad two hour TV movie  ,like bad two hour tv movie,8
1850,Now imagine that every single one of those decisions was made wrong.  ,0,imdb,Now imagine that every single one of those decisions was made wrong  ,imagine every single one decisions made wrong,12
1851,The dialogue is atrocious.  ,0,imdb,The dialogue is atrocious  ,dialogue atrocious,4
1852,The acting is beyond abysmal.  ,0,imdb,The acting is beyond abysmal  ,acting beyond abysmal,5
1853,Everything stinks.  ,0,imdb,Everything stinks  ,everything stinks,2
1854,"Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  ",0,imdb,Trouble is the writing and directing make it impossible to establish those things that make a movie watchable like character story theme and so on  ,trouble writing directing make impossible establish things make movie watchable like character story theme,25
1855,"Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  ",0,imdb,Worse theres an incredibly weak subplot thrown in that follows a little band of latterday Mansonites as they go after a reporter whos working on a story on the anniversary of the killings  ,worse theres incredibly weak subplot thrown follows little band latterday mansonites go reporter whos working story anniversary killings,33
1856,"It's dumb and pointless, and a complete waste of time.  ",0,imdb,Its dumb and pointless and a complete waste of time  ,dumb pointless complete waste time,10
1857,"In short, don't bother with this movie.  ",0,imdb,In short dont bother with this movie  ,short dont bother movie,7
1858,"I won't spoil it, but the ending in pretty amazing.  ",1,imdb,I wont spoil it but the ending in pretty amazing  ,wont spoil ending pretty amazing,10
1859,"The best scene in the movie is at the end, but I won't spoil it.  ",1,imdb,The best scene in the movie is at the end but I wont spoil it  ,best scene movie end wont spoil,15
1860,"If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  ",1,imdb,If there was ever an indication of a writer and a directors ability to meld two highly volatile temperaments into a seamless union of creativity then this is it  ,ever indication writer directors ability meld two highly volatile temperaments seamless union creativity,29
1861,"The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  ",1,imdb,The result is a powerhouse achievement made more timely now perhaps because of our cultures disturbing fascination with celebrity and its distorted interpretations of fame  ,result powerhouse achievement made timely perhaps cultures disturbing fascination celebrity distorted interpretations fame,25
1862,A film not easily forgotten.  ,1,imdb,A film not easily forgotten  ,film easily forgotten,5
1863,"But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  ",1,imdb,But Kevin Spacey is an excellent verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor  ,kevin spacey excellent verbal tsunami buddy ackerman totally believable great actor,20
1864,The scripting of the subtle comedy is unmatched by any movie in recent years.  ,1,imdb,The scripting of the subtle comedy is unmatched by any movie in recent years  ,scripting subtle comedy unmatched movie recent years,14
1865,"The characters are interesting, even if a bit predictable.  ",1,imdb,The characters are interesting even if a bit predictable  ,characters interesting even bit predictable,9
1866,"Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  ",1,imdb,Highly recommended for all ages although the younger set will probably not appreciate some of the more subtle references they will certainly appreciate one galley scene in particular  ,highly recommended ages although younger set probably appreciate subtle references certainly appreciate one galley scene particular,28
1867,Great movie!  ,1,imdb,Great movie  ,great movie,2
1868,Also the story and acting were weak.  ,0,imdb,Also the story and acting were weak  ,also story acting weak,7
1869,"At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  ",0,imdb,At around 4 pm I bought it at around 8pm I started to watch at around 815pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain but there wasnt  ,around 4 pm bought around 8pm started watch around 815pm fast forwarded remaining film see anything left watchable human brain wasnt,41
1870,"Either way, it sucks.  ",0,imdb,Either way it sucks  ,either way sucks,4
1871,The script is horrendously stupid.  ,0,imdb,The script is horrendously stupid  ,script horrendously stupid,5
1872,The story starts too fast with absolutely no suspense or build-up in the slightest.  ,0,imdb,The story starts too fast with absolutely no suspense or buildup in the slightest  ,story starts fast absolutely suspense buildup slightest,14
1873,Everything Captain Howdy says is either laughable or just plain stupid.  ,0,imdb,Everything Captain Howdy says is either laughable or just plain stupid  ,everything captain howdy says either laughable plain stupid,11
1874,What the hell kind of crap is that?!  ,0,imdb,What the hell kind of crap is that  ,hell kind crap,8
1875,"Then, there's the plot holes.  ",0,imdb,Then theres the plot holes  ,theres plot holes,5
1876,You could drive a semi truck into these holes!  ,0,imdb,You could drive a semi truck into these holes  ,could drive semi truck holes,9
1877,Linda Cardellini is the only thing good in this film.  ,1,imdb,Linda Cardellini is the only thing good in this film  ,linda cardellini thing good film,10
1878,She's poised and amazing.  ,1,imdb,Shes poised and amazing  ,shes poised amazing,4
1879,Dee Snider just plain sucks.  ,0,imdb,Dee Snider just plain sucks  ,dee snider plain sucks,5
1880,"He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  ",0,imdb,He cant act one of the least scary villains I have ever seen he cant write did he write this damn movie in his sleep  ,cant act one least scary villains ever seen cant write write damn movie sleep,25
1881,I was bored throughout the whole damn thing.  ,0,imdb,I was bored throughout the whole damn thing  ,bored throughout whole damn thing,8
1882,"The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  ",0,imdb,The acting sucks the music sucks the script sucks the pacing sucks the special FX suck the directing sucks basically this movie sucks  ,acting sucks music sucks script sucks pacing sucks special fx suck directing sucks basically movie sucks,23
1883,This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  ,0,imdb,This film tries to be a serious and sophisticated thrillerhorror flick and it fails miserably  ,film tries serious sophisticated thrillerhorror flick fails miserably,15
1884,This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  ,0,imdb,This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life  ,probably one least effective utterly unoriginal films ever seen entire life,20
1885,A piece of cinematic garbage captured on celluloid.  ,0,imdb,A piece of cinematic garbage captured on celluloid  ,piece cinematic garbage captured celluloid,8
1886,Avoid at any and all costs.  ,0,imdb,Avoid at any and all costs  ,avoid costs,6
1887,"At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  ",0,imdb,At any rate this film stinks its not funny and Fulci should have stayed with giallo and supernatural zombie movies  ,rate film stinks funny fulci stayed giallo supernatural zombie movies,20
1888,Avoid this film at all costs.  ,0,imdb,Avoid this film at all costs  ,avoid film costs,6
1889,"I don't know what happened in Season Five, what a mess.  ",0,imdb,I dont know what happened in Season Five what a mess  ,dont know happened season five mess,11
1890,The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  ,0,imdb,The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict  ,consistent thread holding series together amazing performances leni parker anita laselva two taelons quiet idealogical conflict,26
1891,Now this is a movie I really dislike.  ,0,imdb,Now this is a movie I really dislike  ,movie really dislike,8
1892,It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  ,0,imdb,Its one of the most boring Horror movies from the 90s mainly because it starts slow and centers in a boring atmosphere  ,one boring horror movies 90s mainly starts slow centers boring atmosphere,22
1893,"The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  ",0,imdb,The puppets look really cheesy  not in a good way like in the Puppet Master 80s flicks  ,puppets look really cheesy good way like puppet master 80s flicks,17
1894,"The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  ",0,imdb,The story is lame not interesting and NEVER really explains the sinister origins of the puppets  ,story lame interesting never really explains sinister origins puppets,16
1895,There aren't death scenes like in previous movies and the f/x are terrible.  ,0,imdb,There arent death scenes like in previous movies and the fx are terrible  ,arent death scenes like previous movies fx terrible,13
1896,"I felt asleep the first time I watched it, so I can recommend it for insomniacs.  ",0,imdb,I felt asleep the first time I watched it so I can recommend it for insomniacs  ,felt asleep first time watched recommend insomniacs,16
1897,"The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  ",1,imdb,The fact is this film is a wonderful heartwarming tale about two people chasing their dreams  ,fact film wonderful heartwarming tale two people chasing dreams,16
1898,"The best part about ""Nurse Betty"" is it's unpredictability.  ",1,imdb,The best part about Nurse Betty is its unpredictability  ,best part nurse betty unpredictability,9
1899,"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.  ",1,imdb,Director Neil LaBute uses brutal violence to seperate dreams from reality and along with the touching drama and hilarious comedy you can never tell what is going to happen next  ,director neil labute uses brutal violence seperate dreams reality along touching drama hilarious comedy never tell going happen next,30
1900,"Otherwise, don't even waste your time on this.  ",0,imdb,Otherwise dont even waste your time on this  ,otherwise dont even waste time,8
1901,This one just fails to create any real suspense.  ,0,imdb,This one just fails to create any real suspense  ,one fails create real suspense,9
1902,"As for the killer, don't expect anything original or even remotely frightening.  ",0,imdb,As for the killer dont expect anything original or even remotely frightening  ,killer dont expect anything original even remotely frightening,12
1903,"There is, however, some pretty good acting (at least, for this type of film).  ",1,imdb,There is however some pretty good acting at least for this type of film  ,however pretty good acting least type film,14
1904,I'm so sorry but I really can't recommend it to anyone.  ,0,imdb,Im so sorry but I really cant recommend it to anyone  ,im sorry really cant recommend anyone,11
1905,"One of the most boring,pointless movies I have ever seen.  ",0,imdb,One of the most boringpointless movies I have ever seen  ,one boringpointless movies ever seen,10
1906,The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.  ,0,imdb,The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying  ,secondary plot line incomprehensible relation primary plot line mystifying,16
1907,Hated it.  ,0,imdb,Hated it  ,hated,2
1908,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  ,0,imdb,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad  ,one worst sandra bullock movie since speed 2 quite bad,17
1909,"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!  ",0,imdb,I dont understand how this garbage got on the shelves of the movie store its not even a real movie  ,dont understand garbage got shelves movie store even real movie,20
1910,I highly doubt that anyone could ever like this trash.  ,0,imdb,I highly doubt that anyone could ever like this trash  ,highly doubt anyone could ever like trash,10
1911,This is not movie-making.  ,0,imdb,This is not moviemaking  ,moviemaking,4
1912,"The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is.  ",0,imdb,The acting is like watching wooden puppets moving around and reading from a book thats how bad it is  ,acting like watching wooden puppets moving around reading book thats bad,19
1913,"So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!  ",0,imdb,So I am here to warn youDO NOT RENT THIS MOVIE it is the dumbest thing you have never seen  ,warn youdo rent movie dumbest thing never seen,20
1914,I saw this short film on HBO the other day and absolutely loved it.  ,1,imdb,I saw this short film on HBO the other day and absolutely loved it  ,saw short film hbo day absolutely loved,14
1915,I didn't realize how wonderful the short really is until the last two scenes.  ,1,imdb,I didnt realize how wonderful the short really is until the last two scenes  ,didnt realize wonderful short really last two scenes,14
1916,Excellent short film.  ,1,imdb,Excellent short film  ,excellent short film,3
1917,"Hopefully, the director James Cox can turn the short into a feature length film with the same cast, or win us over with a whole new film.  ",1,imdb,Hopefully the director James Cox can turn the short into a feature length film with the same cast or win us over with a whole new film  ,hopefully director james cox turn short feature length film cast win us whole new film,27
1918,"I agree with Jessica, this movie is pretty bad.  ",0,imdb,I agree with Jessica this movie is pretty bad  ,agree jessica movie pretty bad,9
1919,"Characters are one-dimensional, even the good guys and especially the bad guys.  ",0,imdb,Characters are onedimensional even the good guys and especially the bad guys  ,characters onedimensional even good guys especially bad guys,12
1920,The story line is totally predictable.  ,0,imdb,The story line is totally predictable  ,story line totally predictable,6
1921,"Not much dialogue, not much music, the whole film was shot as elaborately and aesthetically like a sculpture.  ",1,imdb,Not much dialogue not much music the whole film was shot as elaborately and aesthetically like a sculpture  ,much dialogue much music whole film shot elaborately aesthetically like sculpture,18
1922,I've seen soap operas more intelligent than this movie.  ,0,imdb,Ive seen soap operas more intelligent than this movie  ,ive seen soap operas intelligent movie,9
1923,"Bad characters, bad story and bad acting.  ",0,imdb,Bad characters bad story and bad acting  ,bad characters bad story bad acting,7
1924,Really awful.  ,0,imdb,Really awful  ,really awful,2
1925,Not easy to watch.  ,0,imdb,Not easy to watch  ,easy watch,4
1926,"Funny, clever, hip - just like Pray's previous film, Hype!  ",1,imdb,Funny clever hip  just like Prays previous film Hype  ,funny clever hip like prays previous film hype,9
1927,It was a long time that i didn't see a so charismatic actor on screen.  ,1,imdb,It was a long time that i didnt see a so charismatic actor on screen  ,long time didnt see charismatic actor screen,15
1928,Paolo Sorrentino has written a wonderful story about loneliness and Tony has built one of the most unforgettable characters seen in movies in recent years.  ,1,imdb,Paolo Sorrentino has written a wonderful story about loneliness and Tony has built one of the most unforgettable characters seen in movies in recent years  ,paolo sorrentino written wonderful story loneliness tony built one unforgettable characters seen movies recent years,25
1929,The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  ,1,imdb,The movie is not completely perfect but Titta Di Girolamo will stay with you for a long time after the vision of the movie  ,movie completely perfect titta di girolamo stay long time vision movie,24
1930,I rate this movie 9/10.  ,1,imdb,I rate this movie 910  ,rate movie 910,5
1931,"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.  ",1,imdb,I do not know if this was Emilio Estevezs directorial debut but the pacing the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye  ,know emilio estevezs directorial debut pacing interplay development characters well clever camera work surrounding character estevez plays suggest natural eye,38
1932,The interplay between Martin and Emilio contains the same wonderful chemistry we saw in Wall Street with Martin and Charlie.  ,1,imdb,The interplay between Martin and Emilio contains the same wonderful chemistry we saw in Wall Street with Martin and Charlie  ,interplay martin emilio contains wonderful chemistry saw wall street martin charlie,20
1933,"Kathy Bates is wonderful in her characters subtle desperation and escapism; a variation on her character in ""At Play In The Fields Of The Lord"".  ",1,imdb,Kathy Bates is wonderful in her characters subtle desperation and escapism a variation on her character in At Play In The Fields Of The Lord  ,kathy bates wonderful characters subtle desperation escapism variation character play fields lord,25
1934,For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.  ,1,imdb,For readers who have already seen one of Miyazakis films he is still in top form and made another worthwhile experience  ,readers already seen one miyazakis films still top form made another worthwhile experience,21
1935,"It never condescends, all the characters have good genuine hearts and believable problems.  ",1,imdb,It never condescends all the characters have good genuine hearts and believable problems  ,never condescends characters good genuine hearts believable problems,13
1936,The two main characters may be two of the most believable children I ever saw put on screen.  ,1,imdb,The two main characters may be two of the most believable children I ever saw put on screen  ,two main characters may two believable children ever saw put screen,18
1937,"They are so easy to love, but even more easy to identify with.  ",1,imdb,They are so easy to love but even more easy to identify with  ,easy love even easy identify,13
1938,This movie is great--especially if you enjoy visual arts.  ,1,imdb,This movie is greatespecially if you enjoy visual arts  ,movie greatespecially enjoy visual arts,9
1939,The scenery that the two daughters paint and photograph are beautiful.  ,1,imdb,The scenery that the two daughters paint and photograph are beautiful  ,scenery two daughters paint photograph beautiful,11
1940,The story is also both funny and poignant at times.  ,1,imdb,The story is also both funny and poignant at times  ,story also funny poignant times,10
1941,"People who like European films and ""art movies"" will like this movie.  ",1,imdb,People who like European films and art movies will like this movie  ,people like european films art movies like movie,12
1942,This is truly an art movie--it actually has a lot of art in it.  ,1,imdb,This is truly an art movieit actually has a lot of art in it  ,truly art movieit actually lot art,14
1943,Go rent it.  ,1,imdb,Go rent it  ,go rent,3
1944,"However, after finally watching this film, I realized that not only had I had a closed mind to the brilliance it depicts, I also found myself watching it over and over again.  ",1,imdb,However after finally watching this film I realized that not only had I had a closed mind to the brilliance it depicts I also found myself watching it over and over again  ,however finally watching film realized closed mind brilliance depicts also found watching,32
1945,"It's the one movie that never ceases to interest me, simply because it keeps me alert, as I try to attempt to decipher it's meanings.  ",1,imdb,Its the one movie that never ceases to interest me simply because it keeps me alert as I try to attempt to decipher its meanings  ,one movie never ceases interest simply keeps alert try attempt decipher meanings,25
1946,Brilliance indeed.  ,1,imdb,Brilliance indeed  ,brilliance indeed,2
1947,"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.  ",1,imdb,But if you liked movies like The Matrix and better yet their sequels I think youll appreciate the thought provoking mindblowing experience this film will give you  ,liked movies like matrix better yet sequels think youll appreciate thought provoking mindblowing experience film give,27
1948,Think of the film being like a dream.  ,1,imdb,Think of the film being like a dream  ,think film like dream,8
1949,Simply beautiful.  ,1,imdb,Simply beautiful  ,simply beautiful,2
1950,Both Rickman and Stowe play their roles to the hilt in this tale of a childrens' book writer who-- maybe?-- has written a subversive tract.  ,1,imdb,Both Rickman and Stowe play their roles to the hilt in this tale of a childrens book writer who maybe has written a subversive tract  ,rickman stowe play roles hilt tale childrens book writer maybe written subversive tract,25
1951,"It's a gloriously fun, fast paced and fairly accurate portrayal of the night of a raver.  ",1,imdb,Its a gloriously fun fast paced and fairly accurate portrayal of the night of a raver  ,gloriously fun fast paced fairly accurate portrayal night raver,16
1952,It presents a idyllic yet serious portrayal of the ups and downs of the characters lives.  ,1,imdb,It presents a idyllic yet serious portrayal of the ups and downs of the characters lives  ,presents idyllic yet serious portrayal ups downs characters lives,16
1953,"Just whatever you do, avoid ""Groove"" as its the antithesis of all that is good about Human Traffic.  ",0,imdb,Just whatever you do avoid Groove as its the antithesis of all that is good about Human Traffic  ,whatever avoid groove antithesis good human traffic,18
1954,"It's too bad that everyone else involved didn't share Crowe's level of dedication to quality, for if they did, we'd have a far better film on our hands than this sub-par mess.  ",0,imdb,Its too bad that everyone else involved didnt share Crowes level of dedication to quality for if they did wed have a far better film on our hands than this subpar mess  ,bad everyone else involved didnt share crowes level dedication quality wed far better film hands subpar mess,32
1955,The movie seemed a little slow at first.  ,0,imdb,The movie seemed a little slow at first  ,movie seemed little slow first,8
1956,But it picked up speed and got right to the point.  ,1,imdb,But it picked up speed and got right to the point  ,picked speed got right point,11
1957,"It showed exactly how the government and the scientist argued for humanity and the reasons of the ""gadget"".  ",1,imdb,It showed exactly how the government and the scientist argued for humanity and the reasons of the gadget  ,showed exactly government scientist argued humanity reasons gadget,18
1958,I enjoyed it.  ,1,imdb,I enjoyed it  ,enjoyed,3
1959,I have recommended it to friends.  ,1,imdb,I have recommended it to friends  ,recommended friends,6
1960,I was particularly pleased with the acting ability of Dwight Schultz.  ,1,imdb,I was particularly pleased with the acting ability of Dwight Schultz  ,particularly pleased acting ability dwight schultz,11
