,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length,tokens,padded_tokens
859,"Terrible product, and waste of money!",0,amz,Terrible product and waste of money,terrible product waste money,6,"[71, 29, 64, 89]","[71 29 64 89  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
12,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,amz,If the two were seperated by a mere 5 ft I started to notice excessive static and garbled sound from the headset,two seperated mere 5 ft started notice excessive static garbled sound headset,22,"[92, 3159, 3160, 180, 3161, 316, 1464, 3162, 1027, 3163, 40, 46]","[  92 3159 3160  180 3161  316 1464 3162 1027 3163   40   46    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1828,Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  ,1,imdb,Juano Hernandez an exceptional actor who played supporting roles in many films of the era is a proud black man who is accused of murdering a white man in the South  ,juano hernandez exceptional actor played supporting roles many films era proud black man accused murdering white man south,31,"[3164, 3165, 684, 309, 372, 3166, 569, 77, 82, 1617, 1618, 200, 218, 1619, 3167, 199, 218, 1620]","[3164 3165  684  309  372 3166  569   77   82 1617 1618  200  218 1619
 3167  199  218 1620    0    0    0    0    0    0    0    0    0]"
371,Display is excellent and camera is as good as any from that year.,1,amz,Display is excellent and camera is as good as any from that year,display excellent camera good year,13,"[1621, 39, 110, 2, 253]","[1621   39  110    2  253    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
388,It worked very well.,1,amz,It worked very well,worked well,4,"[119, 15]","[119  15   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2469,This was my first and only Vegas buffet and it did not disappoint.,1,yelp,This was my first and only Vegas buffet and it did not disappoint,first vegas buffet disappoint,13,"[33, 164, 265, 1584]","[  33  164  265 1584    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
419,The plastic breaks really easy on this clip.,0,amz,The plastic breaks really easy on this clip,plastic breaks really easy clip,8,"[1071, 892, 12, 111, 795]","[1071  892   12  111  795    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1493,See it.  ,1,imdb,See it  ,see,2,[49],"[49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
1711,Lame would be the best way to describe it.  ,0,imdb,Lame would be the best way to describe it  ,lame would best way describe,9,"[699, 16, 22, 44, 1333]","[ 699   16   22   44 1333    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1799,"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  ",0,imdb,How this piece of trash was ever released is beyond me the acting the story the characters the supposedly special effects etcits ALL wrong  ,piece trash ever released beyond acting story characters supposedly special effects etcits wrong,24,"[146, 754, 21, 906, 476, 55, 99, 52, 945, 209, 327, 3168, 415]","[ 146  754   21  906  476   55   99   52  945  209  327 3168  415    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2964,Del Taco is pretty nasty and should be avoided if possible.,0,yelp,Del Taco is pretty nasty and should be avoided if possible,del taco pretty nasty avoided possible,11,"[3169, 3170, 57, 729, 3171, 483]","[3169 3170   57  729 3171  483    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1566,The visual effects were AWFUL.  ,0,imdb,The visual effects were AWFUL  ,visual effects awful,5,"[1072, 327, 149]","[1072  327  149    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2122,Service was fine and the waitress was friendly.,1,yelp,Service was fine and the waitress was friendly,service fine waitress friendly,8,"[13, 104, 504, 93]","[ 13 104 504  93   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2045,The only thing I did like was the prime rib and dessert section.,1,yelp,The only thing I did like was the prime rib and dessert section,thing like prime rib dessert section,13,"[56, 8, 1622, 3172, 761, 3173]","[  56    8 1622 3172  761 3173    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
937,The headset fulfills my requirements so I am happy with my purchase.,1,amz,The headset fulfills my requirements so I am happy with my purchase,headset fulfills requirements happy purchase,12,"[46, 3174, 3175, 123, 258]","[  46 3174 3175  123  258    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
493,I had Verizon 2 years ago and really liked their service.,1,amz,I had Verizon 2 years ago and really liked their service,verizon 2 years ago really liked service,11,"[489, 97, 107, 305, 12, 315, 13]","[489  97 107 305  12 315  13   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2761,The place was not clean and the food oh so stale!,0,yelp,The place was not clean and the food oh so stale,place clean food oh stale,11,"[11, 430, 9, 575, 1045]","[  11  430    9  575 1045    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2838,Food is way overpriced and portions are fucking small.,0,yelp,Food is way overpriced and portions are fucking small,food way overpriced portions fucking small,9,"[9, 44, 1073, 831, 3176, 196]","[   9   44 1073  831 3176  196    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
637,"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0,amz,However BT headsets are currently not good for real time games like firstperson shooters since the audio delay messes me up,however bt headsets currently good real time games like firstperson shooters since audio delay messes,21,"[128, 1623, 370, 3177, 2, 79, 10, 668, 8, 3178, 3179, 113, 597, 3180, 3181]","[ 128 1623  370 3177    2   79   10  668    8 3178 3179  113  597 3180
 3181    0    0    0    0    0    0    0    0    0    0    0    0]"
427,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,amz,Another note about this phones appearance is that it really looks rather bland especially in the all black model,another note phones appearance really looks rather bland especially black model,19,"[154, 748, 285, 753, 12, 299, 239, 321, 286, 200, 1518]","[ 154  748  285  753   12  299  239  321  286  200 1518    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2289,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,yelp,I hate to disagree with my fellow Yelpers but my husband and I were so disappointed with this place,hate disagree fellow yelpers husband disappointed place,19,"[451, 3182, 3183, 3184, 967, 72, 11]","[ 451 3182 3183 3184  967   72   11    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1307,All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  ,1,imdb,All in all a beautiful directed film from Nicolas roeg wih a sublime cast  ,beautiful directed film nicolas roeg wih sublime cast,14,"[211, 1064, 6, 3185, 3186, 3187, 1624, 178]","[ 211 1064    6 3185 3186 3187 1624  178    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2819,This place should honestly be blown up.,0,yelp,This place should honestly be blown up,place honestly blown,7,"[11, 1074, 1474]","[  11 1074 1474    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,amz,Everything worked on the first tryThe device was certainly engineered in a clever way and the construction feels good,everything worked first trythe device certainly engineered clever way construction feels good,19,"[67, 119, 33, 3188, 252, 505, 3189, 506, 44, 1075, 599, 2]","[  67  119   33 3188  252  505 3189  506   44 1075  599    2    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2427,Waiter was a jerk.,0,yelp,Waiter was a jerk,waiter jerk,4,"[387, 3190]","[ 387 3190    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
908,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,amz,I can hear while Im driving in the car and usually dont even have to put it on its loudest setting,hear im driving car usually dont even put loudest setting,21,"[228, 31, 3191, 136, 1222, 18, 17, 279, 3192, 1076]","[ 228   31 3191  136 1222   18   17  279 3192 1076    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
408,Plantronics Bluetooth Excelent Buy.,1,amz,Plantronics Bluetooth Excelent Buy,plantronics bluetooth excelent buy,4,"[736, 229, 3193, 160]","[ 736  229 3193  160    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
715,The phone crashed completely and now I have to get it replaced.,0,amz,The phone crashed completely and now I have to get it replaced,phone crashed completely get replaced,12,"[5, 1625, 206, 35, 3194]","[   5 1625  206   35 3194    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
980,Echo Problem....Very unsatisfactory,0,amz,Echo ProblemVery unsatisfactory,echo problemvery unsatisfactory,3,"[1626, 3195, 1627]","[1626 3195 1627    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1441,"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ",0,imdb,But the convoluted plot just didnt convince me and much of the film was watched with a weird questioning glance  ,convoluted plot didnt convince much film watched weird questioning glance,20,"[3196, 87, 50, 3197, 36, 6, 237, 1628, 3198, 887]","[3196   87   50 3197   36    6  237 1628 3198  887    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
919,"Saggy, floppy piece of junk.",0,amz,Saggy floppy piece of junk,saggy floppy piece junk,5,"[3199, 3200, 146, 562]","[3199 3200  146  562    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1306,In a most wonderful location lies a story of contrast.  ,1,imdb,In a most wonderful location lies a story of contrast  ,wonderful location lies story contrast,10,"[91, 537, 3201, 99, 1284]","[  91  537 3201   99 1284    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
87,The construction of the headsets is poor.,0,amz,The construction of the headsets is poor,construction headsets poor,7,"[1075, 370, 69]","[1075  370   69    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2532,"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,yelp,The best place in Vegas for breakfast just check out a Sat or Sun,best place vegas breakfast check sat sun,14,"[22, 11, 164, 708, 432, 519, 3202]","[  22   11  164  708  432  519 3202    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1648,This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  ,1,imdb,This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa  ,movie excellent job revealing complexity task incredible challenges facing south africa,20,"[4, 39, 213, 1280, 3203, 3204, 342, 3205, 3206, 1620, 3207]","[   4   39  213 1280 3203 3204  342 3205 3206 1620 3207    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
512,The sound is clear and the people I talk to on it are amazed at the quality too.,1,amz,The sound is clear and the people I talk to on it are amazed at the quality too,sound clear people talk amazed quality,18,"[40, 262, 53, 166, 823, 23]","[ 40 262  53 166 823  23   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
109,I purcashed this for the car charger and it does not work.,0,amz,I purcashed this for the car charger and it does not work,purcashed car charger work,12,"[3208, 136, 118, 26]","[3208  136  118   26    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
679,The volume for the ringer is REAL good (you have choices how loud).,1,amz,The volume for the ringer is REAL good you have choices how loud,volume ringer real good choices loud,13,"[259, 3209, 79, 2, 1391, 573]","[ 259 3209   79    2 1391  573    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2016,Highly recommended.,1,yelp,Highly recommended,highly recommended,2,"[145, 364]","[145 364   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1724,"Seriously, it's not worth wasting your, or your kid's time on.  ",0,imdb,Seriously its not worth wasting your or your kids time on  ,seriously worth wasting kids time,11,"[267, 76, 1629, 445, 10]","[ 267   76 1629  445   10    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2378,RUDE & INCONSIDERATE MANAGEMENT.,0,yelp,RUDE  INCONSIDERATE MANAGEMENT,rude inconsiderate management,3,"[463, 3210, 444]","[ 463 3210  444    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1893,"The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  ",0,imdb,The puppets look really cheesy  not in a good way like in the Puppet Master 80s flicks  ,puppets look really cheesy good way like puppet master 80s flicks,17,"[910, 66, 12, 1548, 2, 44, 8, 3211, 1630, 1531, 3212]","[ 910   66   12 1548    2   44    8 3211 1630 1531 3212    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1826,"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",1,imdb,The film deserves strong kudos for taking this stand for having exceptional acting from its mostly lesserknown cast and for the superintelligent script that doesnt insult the audience or take the easy way out when it comes to white racism  ,film deserves strong kudos taking stand exceptional acting mostly lesserknown cast superintelligent script doesnt insult audience take easy way comes white racism,40,"[6, 617, 312, 3213, 1631, 1049, 684, 55, 510, 3214, 178, 3215, 121, 84, 1001, 556, 115, 111, 44, 382, 199, 1278]","[   6  617  312 3213 1631 1049  684   55  510 3214  178 3215  121   84
 1001  556  115  111   44  382  199 1278    0    0    0    0    0]"
397,Great product and price.,1,amz,Great product and price,great product price,4,"[3, 29, 62]","[ 3 29 62  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
1273,You truly take this journey through the eyes and soul of a child.  ,1,imdb,You truly take this journey through the eyes and soul of a child  ,truly take journey eyes soul child,13,"[282, 115, 3216, 605, 1632, 591]","[ 282  115 3216  605 1632  591    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2966,But I don't like it.,0,yelp,But I dont like it,dont like,5,"[18, 8]","[18  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
2752,"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,yelp,Level 5 spicy was perfect where spice didnt overwhelm the soup,level 5 spicy perfect spice didnt overwhelm soup,11,"[578, 180, 456, 198, 3217, 50, 3218, 692]","[ 578  180  456  198 3217   50 3218  692    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2171,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,yelp,This really is how Vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed,really vegas fine dining used right menus handed ladies prices listed,24,"[12, 164, 104, 600, 90, 75, 3219, 3220, 1031, 443, 3221]","[  12  164  104  600   90   75 3219 3220 1031  443 3221    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
661,I'm happy about this purchase- good quality and low price.,1,amz,Im happy about this purchase good quality and low price,im happy purchase good quality low price,10,"[31, 123, 258, 2, 23, 222, 62]","[ 31 123 258   2  23 222  62   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1184,Not a pleasant voyage of self-discovery.  ,0,imdb,Not a pleasant voyage of selfdiscovery  ,pleasant voyage selfdiscovery,6,"[632, 3222, 3223]","[ 632 3222 3223    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2193,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,yelp,I had a salad with the wings and some ice cream for dessert and left feeling quite satisfied,salad wings ice cream dessert left feeling quite satisfied,18,"[179, 855, 532, 841, 761, 257, 203, 96, 749]","[179 855 532 841 761 257 203  96 749   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
796,"Five star Plus, plus.",1,amz,Five star Plus plus,five star plus plus,4,"[619, 343, 469, 469]","[619 343 469 469   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2139,My drink was never empty and he made some really great menu suggestions.,1,yelp,My drink was never empty and he made some really great menu suggestions,drink never empty made really great menu suggestions,13,"[757, 34, 579, 28, 12, 3, 368, 3224]","[ 757   34  579   28   12    3  368 3224    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2877,Go To Place for Gyros.,1,yelp,Go To Place for Gyros,go place gyros,5,"[25, 11, 1633]","[  25   11 1633    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1694,You wont regret it!  ,1,imdb,You wont regret it  ,wont regret,4,"[108, 1032]","[ 108 1032    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
737,"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1,amz,The tracfonewebsite is user friendly and makes it easy toactivate etc,tracfonewebsite user friendly makes easy toactivate etc,11,"[3225, 988, 93, 168, 111, 3226, 752]","[3225  988   93  168  111 3226  752    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2728,The Han Nan Chicken was also very tasty.,1,yelp,The Han Nan Chicken was also very tasty,han nan chicken also tasty,8,"[3227, 3228, 232, 19, 304]","[3227 3228  232   19  304    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2835,I paid the bill but did not tip because I felt the server did a terrible job.,0,yelp,I paid the bill but did not tip because I felt the server did a terrible job,paid bill tip felt server terrible job,17,"[620, 785, 1025, 182, 281, 71, 213]","[ 620  785 1025  182  281   71  213    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1781,The Foreigner is not worth one second of your time.  ,0,imdb,The Foreigner is not worth one second of your time  ,foreigner worth one second time,10,"[3229, 76, 7, 371, 10]","[3229   76    7  371   10    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1461,"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.  ",0,imdb,Victor McLaglen was even bad and Brian DonLevy was almost unrecognizable  ,victor mclaglen even bad brian donlevy almost unrecognizable,11,"[3230, 3231, 17, 14, 3232, 3233, 308, 3234]","[3230 3231   17   14 3232 3233  308 3234    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2962,She was quite disappointed although some blame needs to be placed at her door.,0,yelp,She was quite disappointed although some blame needs to be placed at her door,quite disappointed although blame needs placed door,14,"[96, 72, 394, 3235, 654, 940, 1634]","[  96   72  394 3235  654  940 1634    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1452,"The plot doesn't hang together at all, and the acting is absolutely appalling.  ",0,imdb,The plot doesnt hang together at all and the acting is absolutely appalling  ,plot doesnt hang together acting absolutely appalling,13,"[87, 84, 3236, 366, 55, 137, 1077]","[  87   84 3236  366   55  137 1077    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2460,Definitely not worth the $3 I paid.,0,yelp,Definitely not worth the 3 I paid,definitely worth 3 paid,7,"[85, 76, 272, 620]","[ 85  76 272 620   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1925,Not easy to watch.  ,0,imdb,Not easy to watch  ,easy watch,4,"[111, 231]","[111 231   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
678,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1,amz,It works fine on my Motorola 325 cellphone and a lot better than the wornout battery did,works fine motorola 325 cellphone lot better wornout battery,17,"[27, 104, 319, 3237, 3238, 80, 38, 3239, 47]","[  27  104  319 3237 3238   80   38 3239   47    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2948,This place is horrible and way overpriced.,0,yelp,This place is horrible and way overpriced,place horrible way overpriced,7,"[11, 134, 44, 1073]","[  11  134   44 1073    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1557,"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  ",0,imdb,Lets start with all the problemsthe acting especially from the lead professor was very very bad  ,lets start problemsthe acting especially lead professor bad,16,"[922, 1556, 3240, 55, 286, 762, 3241, 14]","[ 922 1556 3240   55  286  762 3241   14    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
821,"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1,amz,That being said for a phone the camera is very nice many cool effects to play with and video is decent as well,said phone camera nice many cool effects play video decent well,23,"[212, 5, 110, 30, 77, 163, 327, 251, 998, 362, 15]","[212   5 110  30  77 163 327 251 998 362  15   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1856,"It's dumb and pointless, and a complete waste of time.  ",0,imdb,Its dumb and pointless and a complete waste of time  ,dumb pointless complete waste time,10,"[1511, 1430, 655, 64, 10]","[1511 1430  655   64   10    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
41,I was not impressed by this product.,0,amz,I was not impressed by this product,impressed product,7,"[127, 29]","[127  29   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2649,We won't be going back anytime soon!,0,yelp,We wont be going back anytime soon,wont going back anytime soon,7,"[108, 60, 20, 722, 324]","[108  60  20 722 324   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
212,Great price also!,1,amz,Great price also,great price also,3,"[3, 62, 19]","[ 3 62 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
771,"VERY cheap plastic, creaks like an old wooden floor.",0,amz,VERY cheap plastic creaks like an old wooden floor,cheap plastic creaks like old wooden floor,9,"[157, 1071, 3242, 8, 173, 917, 3243]","[ 157 1071 3242    8  173  917 3243    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
322,The Ngage is still lacking in earbuds.,0,amz,The Ngage is still lacking in earbuds,ngage still lacking earbuds,7,"[3244, 48, 478, 3245]","[3244   48  478 3245    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2335,Great service and food.,1,yelp,Great service and food,great service food,4,"[3, 13, 9]","[ 3 13  9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
2375,Best tacos in town by far!!,1,yelp,Best tacos in town by far,best tacos town far,6,"[22, 954, 393, 103]","[ 22 954 393 103   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
930,Never got it!!!!!,0,amz,Never got it,never got,3,"[34, 51]","[34 51  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0]"
978,It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1,amz,It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal,fits securely ear hook even need used sound better directed ear canal,25,"[234, 3246, 81, 3247, 17, 318, 90, 40, 38, 1064, 81, 3248]","[ 234 3246   81 3247   17  318   90   40   38 1064   81 3248    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
302,Someone shouldve invented this sooner.,1,amz,Someone shouldve invented this sooner,someone shouldve invented sooner,5,"[380, 3249, 3250, 3251]","[ 380 3249 3250 3251    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1991,Fans of the genre will be in heaven.  ,1,imdb,Fans of the genre will be in heaven  ,fans genre heaven,8,"[978, 3252, 1214]","[ 978 3252 1214    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1259,"But this movie is not funny, considering the ridiculousness of it.  ",0,imdb,But this movie is not funny considering the ridiculousness of it  ,movie funny considering ridiculousness,11,"[4, 152, 1259, 3253]","[   4  152 1259 3253    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
91,Made very sturdy.,1,amz,Made very sturdy,made sturdy,3,"[28, 1070]","[  28 1070    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1043,But it's just not funny.  ,0,imdb,But its just not funny  ,funny,5,[152],"[152   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1364,Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.  ,1,imdb,Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen  ,damian talented versatile many ways writing portraying different characters screen,18,"[3254, 811, 3255, 77, 1078, 187, 1183, 241, 52, 141]","[3254  811 3255   77 1078  187 1183  241   52  141    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1206,I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,0,imdb,I dont think Ive ever seen a movie half as boring as this selfindulgent piece of junk  ,dont think ive ever seen movie half boring selfindulgent piece junk,17,"[18, 43, 24, 21, 94, 4, 332, 275, 1635, 146, 562]","[  18   43   24   21   94    4  332  275 1635  146  562    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
1621,"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",1,imdb,A mature subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances apart from the odd inappropriate smiling that Keira Knightley is prone to though perhaps under direction this time as the other characters themselves often mention it  ,mature subtle script suggests occasionally brings dramatic focus underlying tensions well served perfect performances apart odd inappropriate smiling keira knightley prone though perhaps direction time characters often mention,47,"[1576, 474, 121, 3256, 703, 1305, 3257, 1383, 3258, 3259, 15, 407, 198, 1128, 1009, 1636, 3260, 3261, 3262, 3263, 3264, 150, 541, 720, 10, 52, 616, 546]","[1576  474  121 3256  703 1305 3257 1383 3258 3259   15  407  198 1128
 1009 1636 3260 3261 3262 3263 3264  150  541  720   10   52  616]"
21,I bought this to use with my Kindle Fire and absolutely loved it!,1,amz,I bought this to use with my Kindle Fire and absolutely loved it,bought use kindle fire absolutely loved,13,"[112, 45, 3265, 3266, 137, 109]","[ 112   45 3265 3266  137  109    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
2888,Seriously killer hot chai latte.,1,yelp,Seriously killer hot chai latte,seriously killer hot chai latte,5,"[267, 653, 268, 3267, 3268]","[ 267  653  268 3267 3268    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
948,nice leather.,1,amz,nice leather,nice leather,2,"[30, 758]","[ 30 758   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
1105,Very disappointing.  ,0,imdb,Very disappointing  ,disappointing,2,[289],"[289   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0]"
2204,Service is friendly and inviting.,1,yelp,Service is friendly and inviting,service friendly inviting,5,"[13, 93, 3269]","[  13   93 3269    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0]"
